Kode,Kelurahan,Kecamatan,Kabupaten/Kota
32.03.15.2010,Girimukti,Campaka,Kabupaten Cianjur
32.03.15.2007,Karyamukti,Campaka,Kabupaten Cianjur
32.03.15.2006,Margaluyu,Campaka,Kabupaten Cianjur
32.03.15.2011,Mekarjaya,Campaka,Kabupaten Cianjur
32.03.15.2005,Sukadana,Campaka,Kabupaten Cianjur
32.03.15.2004,Sukajadi,Campaka,Kabupaten Cianjur
32.03.15.2003,Susukan,Campaka,Kabupaten Cianjur
32.03.15.2009,Wangunjaya,Campaka,Kabupaten Cianjur
32.03.25.2004,Campakamulya,Campakamulya,Kabupaten Cianjur
32.03.25.2002,Campakawarna,Campakamulya,Kabupaten Cianjur
32.03.25.2001,Cibanggala,Campakamulya,Kabupaten Cianjur
32.03.25.2005,Sukabungah,Campakamulya,Kabupaten Cianjur
32.03.25.2003,Sukasirna,Campakamulya,Kabupaten Cianjur
32.03.01.2001,Babakankaret,Cianjur,Kabupaten Cianjur
32.03.01.1008,Bojongherang,Cianjur,Kabupaten Cianjur
32.03.01.2005,Limbangansari,Cianjur,Kabupaten Cianjur
32.03.01.2004,Mekarsari,Cianjur,Kabupaten Cianjur
32.03.01.1011,Muka,Cianjur,Kabupaten Cianjur
32.03.01.2002,Nagrak,Cianjur,Kabupaten Cianjur
32.03.01.1006,Pamoyanan,Cianjur,Kabupaten Cianjur
32.03.01.1007,Sawahgede,Cianjur,Kabupaten Cianjur
32.03.01.1009,Sayang,Cianjur,Kabupaten Cianjur
32.03.01.1010,Solokpandan,Cianjur,Kabupaten Cianjur
32.03.01.2003,Sukamaju,Cianjur,Kabupaten Cianjur
32.03.03.2016,Cibadak,Cibeber,Kabupaten Cianjur
32.03.03.2004,Cibaregbeg,Cibeber,Kabupaten Cianjur
32.03.03.2009,Cibokor,Cibeber,Kabupaten Cianjur
32.03.03.2002,Cihaur,Cibeber,Kabupaten Cianjur
32.03.03.2008,Cikondang,Cibeber,Kabupaten Cianjur
32.03.03.2003,Cimanggu,Cibeber,Kabupaten Cianjur
32.03.03.2001,Cipetir,Cibeber,Kabupaten Cianjur
32.03.03.2015,Cisalak,Cibeber,Kabupaten Cianjur
32.03.03.2014,Girimulya,Cibeber,Kabupaten Cianjur
32.03.03.2012,Kanoman,Cibeber,Kabupaten Cianjur
32.03.03.2011,Karangnunggal,Cibeber,Kabupaten Cianjur
32.03.03.2007,Mayak,Cibeber,Kabupaten Cianjur
32.03.03.2006,Peuteuycondong,Cibeber,Kabupaten Cianjur
32.03.03.2018,Salamnunggal,Cibeber,Kabupaten Cianjur
32.03.03.2010,Selagedang,Cibeber,Kabupaten Cianjur
32.03.03.2013,Sukamaju,Cibeber,Kabupaten Cianjur
32.03.03.2017,Sukamanah,Cibeber,Kabupaten Cianjur
32.03.03.2005,Sukaraharja,Cibeber,Kabupaten Cianjur
32.03.23.2002,Cibuluh,Cidaun,Kabupaten Cianjur
32.03.23.2001,Cidamar,Cidaun,Kabupaten Cianjur
32.03.23.2004,Cimaragang,Cidaun,Kabupaten Cianjur
32.03.23.2003,Cisalak,Cidaun,Kabupaten Cianjur
32.03.23.2008,Gelarpawitan,Cidaun,Kabupaten Cianjur
32.03.23.2014,Gelarwangi,Cidaun,Kabupaten Cianjur
32.03.23.2011,Jayapura,Cidaun,Kabupaten Cianjur
32.03.23.2009,Karangwangi,Cidaun,Kabupaten Cianjur
32.03.23.2010,Karyabakti,Cidaun,Kabupaten Cianjur
32.03.23.2006,Kertajadi,Cidaun,Kabupaten Cianjur
32.03.23.2005,Mekarjaya,Cidaun,Kabupaten Cianjur
32.03.23.2012,Neglasari,Cidaun,Kabupaten Cianjur
32.03.23.2013,Puncakbaru,Cidaun,Kabupaten Cianjur
32.03.23.2007,Sukapura,Cidaun,Kabupaten Cianjur
32.03.29.2003,Bojonglarang,Cijati,Kabupaten Cianjur
32.03.29.2008,Caringin,Cijati,Kabupaten Cianjur
32.03.29.2005,Cibodas,Cijati,Kabupaten Cianjur
32.03.29.2002,Cijati,Cijati,Kabupaten Cianjur
32.03.29.2004,Padaasih,Cijati,Kabupaten Cianjur
32.03.29.2001,Parakantugu,Cijati,Kabupaten Cianjur
32.03.29.2009,Sinarbakti,Cijati,Kabupaten Cianjur
32.03.29.2007,Sukaluyu,Cijati,Kabupaten Cianjur
32.03.29.2006,Sukamahi,Cijati,Kabupaten Cianjur
32.03.29.2010,Sukamaju,Cijati,Kabupaten Cianjur
32.03.26.2002,Cikadu,Cikadu,Kabupaten Cianjur
32.03.26.2006,Cisaranten,Cikadu,Kabupaten Cianjur
32.03.26.2001,Kalapanunggal,Cikadu,Kabupaten Cianjur
32.03.26.2009,Mekarjaya,Cikadu,Kabupaten Cianjur
32.03.26.2007,Mekarlaksana,Cikadu,Kabupaten Cianjur
32.03.26.2003,Mekarwangi,Cikadu,Kabupaten Cianjur
32.03.26.2004,Padaluyu,Cikadu,Kabupaten Cianjur
32.03.26.2008,Sukaluyu,Cikadu,Kabupaten Cianjur
32.03.26.2010,Sukamanah,Cikadu,Kabupaten Cianjur
32.03.26.2005,Sukamulya,Cikadu,Kabupaten Cianjur
32.03.12.2012,Cigunungherang,Cikalongkulon,Kabupaten Cianjur
32.03.12.2004,Cijagang,Cikalongkulon,Kabupaten Cianjur
32.03.12.2003,Cinangsi,Cikalongkulon,Kabupaten Cianjur
32.03.12.2008,Ciramagirang,Cikalongkulon,Kabupaten Cianjur
32.03.12.2002,Gudang,Cikalongkulon,Kabupaten Cianjur
32.03.12.2006,Kamurang,Cikalongkulon,Kabupaten Cianjur
32.03.12.2015,Lembahsari,Cikalongkulon,Kabupaten Cianjur
32.03.12.2005,Majalaya,Cikalongkulon,Kabupaten Cianjur
32.03.12.2014,Mekargalih,Cikalongkulon,Kabupaten Cianjur
32.03.12.2009,Mekarjaya,Cikalongkulon,Kabupaten Cianjur
32.03.12.2018,Mekarmulya,Cikalongkulon,Kabupaten Cianjur
32.03.12.2017,Mekarsari,Cikalongkulon,Kabupaten Cianjur
32.03.12.2016,Mentengsari,Cikalongkulon,Kabupaten Cianjur
32.03.12.2013,Neglasari,Cikalongkulon,Kabupaten Cianjur
32.03.12.2011,Padajaya,Cikalongkulon,Kabupaten Cianjur
32.03.12.2001,Sukagalih,Cikalongkulon,Kabupaten Cianjur
32.03.12.2010,Sukamulya,Cikalongkulon,Kabupaten Cianjur
32.03.12.2007,Warudoyong,Cikalongkulon,Kabupaten Cianjur
32.03.04.2005,Cibinonghilir,Cilaku,Kabupaten Cianjur
32.03.04.2009,Ciharashas,Cilaku,Kabupaten Cianjur
32.03.04.2010,Mulyasari,Cilaku,Kabupaten Cianjur
32.03.04.2007,Munjul,Cilaku,Kabupaten Cianjur
32.03.04.2006,Rahong,Cilaku,Kabupaten Cianjur
32.03.04.2001,Rancagoong,Cilaku,Kabupaten Cianjur
32.03.04.2008,Sindangsari,Cilaku,Kabupaten Cianjur
32.03.04.2003,Sirnagalih,Cilaku,Kabupaten Cianjur
32.03.04.2004,Sukakerta,Cilaku,Kabupaten Cianjur
32.03.04.2002,Sukasari,Cilaku,Kabupaten Cianjur
32.03.28.2005,Batulawang,Cipanas,Kabupaten Cianjur
32.03.28.2003,Ciloto,Cipanas,Kabupaten Cianjur
32.03.28.2002,Cimacan,Cipanas,Kabupaten Cianjur
32.03.28.2001,Cipanas,Cipanas,Kabupaten Cianjur
32.03.28.2006,Palasari,Cipanas,Kabupaten Cianjur
32.03.28.2007,Sindangjaya,Cipanas,Kabupaten Cianjur
32.03.28.2004,Sindanglaya,Cipanas,Kabupaten Cianjur
32.03.05.2004,Cibiuk,Ciranjang,Kabupaten Cianjur
32.03.05.2001,Ciranjang,Ciranjang,Kabupaten Cianjur
32.03.05.2005,Gunungsari,Ciranjang,Kabupaten Cianjur
32.03.05.2006,Karangwangi,Ciranjang,Kabupaten Cianjur
32.03.05.2008,Kertajaya,Ciranjang,Kabupaten Cianjur
32.03.05.2012,Mekargalih,Ciranjang,Kabupaten Cianjur
32.03.05.2007,Nanggalamekar,Ciranjang,Kabupaten Cianjur
32.03.05.2002,Sindangjaya,Ciranjang,Kabupaten Cianjur
32.03.05.2009,Sindangsari,Ciranjang,Kabupaten Cianjur
32.03.20.2008,Batulawang,Cubinong,Kabupaten Cianjur
32.03.20.2014,Ciburial,Cubinong,Kabupaten Cianjur
32.03.20.2002,Cikangkareng,Cubinong,Kabupaten Cianjur
32.03.20.2006,Cimaskara,Cubinong,Kabupaten Cianjur
32.03.20.2011,Girijaya,Cubinong,Kabupaten Cianjur
32.03.20.2010,Hamerang,Cubinong,Kabupaten Cianjur
32.03.20.2013,Mekarmukti,Cubinong,Kabupaten Cianjur
32.03.20.2005,Padasuka,Cubinong,Kabupaten Cianjur
32.03.20.2007,Pamoyanan,Cubinong,Kabupaten Cianjur
32.03.20.2001,Pananggapan,Cubinong,Kabupaten Cianjur
32.03.20.2004,Panyindangan,Cubinong,Kabupaten Cianjur
32.03.20.2003,Sukajadi,Cubinong,Kabupaten Cianjur
32.03.20.2009,Sukamekar,Cubinong,Kabupaten Cianjur
32.03.20.2012,Wargaluyu,Cubinong,Kabupaten Cianjur
32.03.11.2011,Benjot,Cugenang,Kabupaten Cianjur
32.03.11.2004,Cibeureum,Cugenang,Kabupaten Cianjur
32.03.11.2010,Cibulakan,Cugenang,Kabupaten Cianjur
32.03.11.2003,Cijedil,Cugenang,Kabupaten Cianjur
32.03.11.2014,Cirumput,Cugenang,Kabupaten Cianjur
32.03.11.2016,Galudra,Cugenang,Kabupaten Cianjur
32.03.11.2002,Gasol,Cugenang,Kabupaten Cianjur
32.03.11.2006,Mangunkerta,Cugenang,Kabupaten Cianjur
32.03.11.2005,Nyalindung,Cugenang,Kabupaten Cianjur
32.03.11.2015,Padaluyu,Cugenang,Kabupaten Cianjur
32.03.11.2007,Sarampad,Cugenang,Kabupaten Cianjur
32.03.11.2009,Sukajaya,Cugenang,Kabupaten Cianjur
32.03.11.2001,Sukamanah,Cugenang,Kabupaten Cianjur
32.03.11.2012,Sukamulya,Cugenang,Kabupaten Cianjur
32.03.11.2008,Talaga,Cugenang,Kabupaten Cianjur
32.03.11.2013,Wangunjaya,Cugenang,Kabupaten Cianjur
32.03.27.2001,Bangbayang,Gekbrong,Kabupaten Cianjur
32.03.27.2007,Cikahuripan,Gekbrong,Kabupaten Cianjur
32.03.27.2004,Cikancana,Gekbrong,Kabupaten Cianjur
32.03.27.2008,Cintaasih,Gekbrong,Kabupaten Cianjur
32.03.27.2006,Gekbrong,Gekbrong,Kabupaten Cianjur
32.03.27.2005,Kebonpeuteuy,Gekbrong,Kabupaten Cianjur
32.03.27.2002,Songgom,Gekbrong,Kabupaten Cianjur
32.03.27.2003,Sukaratu,Gekbrong,Kabupaten Cianjur
32.03.31.2002,Cihea,Haurwangi,Kabupaten Cianjur
32.03.31.2007,Cipeuyeum,Haurwangi,Kabupaten Cianjur
32.03.31.2001,Haurwangi,Haurwangi,Kabupaten Cianjur
32.03.31.2008,Kertamukti,Haurwangi,Kabupaten Cianjur
32.03.31.2006,Kertasari,Haurwangi,Kabupaten Cianjur
32.03.31.2005,Mekarwangi,Haurwangi,Kabupaten Cianjur
32.03.31.2004,Mekarwangi/Sukatani,Haurwangi,Kabupaten Cianjur
32.03.31.2003,Ramasari,Haurwangi,Kabupaten Cianjur
32.03.17.2009,Bojongkasih,Kadupandak,Kabupaten Cianjur
32.03.17.2022,Gandasari,Kadupandak,Kabupaten Cianjur
32.03.17.2021,Kadupandak,Kadupandak,Kabupaten Cianjur
32.03.17.2016,Neglasari,Kadupandak,Kabupaten Cianjur
32.03.17.2006,Pasirdalem,Kadupandak,Kabupaten Cianjur
32.03.17.2023,Sindangsari,Kadupandak,Kabupaten Cianjur
32.03.17.2014,Sukakerta,Kadupandak,Kabupaten Cianjur
32.03.17.2011,Sukaraharja,Kadupandak,Kabupaten Cianjur
32.03.17.2020,Sukaraja,Kadupandak,Kabupaten Cianjur
32.03.17.2017,Sukaresmi,Kadupandak,Kabupaten Cianjur
32.03.17.2003,Sukasari,Kadupandak,Kabupaten Cianjur
32.03.17.2008,Talagasari,Kadupandak,Kabupaten Cianjur
32.03.17.2010,Wargaasih,Kadupandak,Kabupaten Cianjur
32.03.17.2019,Wargasari,Kadupandak,Kabupaten Cianjur
32.03.07.2009,Babakancaringin,Karangtengah,Kabupaten Cianjur
32.03.07.2002,Bojong,Karangtengah,Kabupaten Cianjur
32.03.07.2005,Ciherang,Karangtengah,Kabupaten Cianjur
32.03.07.2014,Hegarmanah,Karangtengah,Kabupaten Cianjur
32.03.07.2013,Langensari,Karangtengah,Kabupaten Cianjur
32.03.07.2004,Maleber,Karangtengah,Kabupaten Cianjur
32.03.07.2010,Sabandar,Karangtengah,Kabupaten Cianjur
32.03.07.2011,Sindangasih,Karangtengah,Kabupaten Cianjur
32.03.07.2003,Sindanglaka,Karangtengah,Kabupaten Cianjur
32.03.07.2015,Sukajadi,Karangtengah,Kabupaten Cianjur
32.03.07.2001,Sukamanah,Karangtengah,Kabupaten Cianjur
32.03.07.2006,Sukamantri,Karangtengah,Kabupaten Cianjur
32.03.07.2016,Sukamulya,Karangtengah,Kabupaten Cianjur
32.03.07.2007,Sukasarana,Karangtengah,Kabupaten Cianjur
32.03.07.2008,Sukasari,Karangtengah,Kabupaten Cianjur
32.03.07.2012,Sukataris,Karangtengah,Kabupaten Cianjur
32.03.30.2010,Karyamukti,Leles,Kabupaten Cianjur
32.03.30.2011,Mandalawangi,Leles,Kabupaten Cianjur
32.03.30.2006,Nagasari,Leles,Kabupaten Cianjur
32.03.30.2004,Puncakwangi,Leles,Kabupaten Cianjur
32.03.30.2003,Purabaya,Leles,Kabupaten Cianjur
32.03.30.2001,Pusakasari,Leles,Kabupaten Cianjur
32.03.30.2012,Sindangsari,Leles,Kabupaten Cianjur
32.03.30.2009,Sirnasari,Leles,Kabupaten Cianjur
32.03.30.2005,Sukajaya,Leles,Kabupaten Cianjur
32.03.30.2008,Sukamulya,Leles,Kabupaten Cianjur
32.03.30.2007,Sukasirna,Leles,Kabupaten Cianjur
32.03.30.2002,Walahir,Leles,Kabupaten Cianjur
32.03.08.2002,Bobojong,Mande,Kabupaten Cianjur
32.03.08.2007,Ciandam,Mande,Kabupaten Cianjur
32.03.08.2004,Cikidangbayabang,Mande,Kabupaten Cianjur
32.03.08.2003,Jamali,Mande,Kabupaten Cianjur
32.03.08.2001,Kademangan,Mande,Kabupaten Cianjur
32.03.08.2011,Kutawaringin,Mande,Kabupaten Cianjur
32.03.08.2009,Leuwikoja,Mande,Kabupaten Cianjur
32.03.08.2005,Mande,Mande,Kabupaten Cianjur
32.03.08.2010,Mekarjaya,Mande,Kabupaten Cianjur
32.03.08.2006,Mulyasari,Mande,Kabupaten Cianjur
32.03.08.2012,Murnisari,Mande,Kabupaten Cianjur
32.03.08.2008,Sukamanah,Mande,Kabupaten Cianjur
32.03.24.2002,Balegede,Naringgul,Kabupaten Cianjur
32.03.24.2005,Cinerang,Naringgul,Kabupaten Cianjur
32.03.24.2008,Malati,Naringgul,Kabupaten Cianjur
32.03.24.2011,Margasari,Naringgul,Kabupaten Cianjur
32.03.24.2004,Mekarsari,Naringgul,Kabupaten Cianjur
32.03.24.2001,Naringgul,Naringgul,Kabupaten Cianjur
32.03.24.2007,Sukabakti,Naringgul,Kabupaten Cianjur
32.03.24.2010,Sukamulya,Naringgul,Kabupaten Cianjur
32.03.24.2006,Wanasari,Naringgul,Kabupaten Cianjur
32.03.24.2003,Wangunjaya,Naringgul,Kabupaten Cianjur
32.03.24.2009,Wangunsari,Naringgul,Kabupaten Cianjur
32.03.10.2003,Cibodas,Pacet,Kabupaten Cianjur
32.03.10.2001,Ciherang,Pacet,Kabupaten Cianjur
32.03.10.2007,Cipendawa,Pacet,Kabupaten Cianjur
32.03.10.2010,Ciputri,Pacet,Kabupaten Cianjur
32.03.10.2012,Gadog,Pacet,Kabupaten Cianjur
32.03.10.2005,Sukanagalih,Pacet,Kabupaten Cianjur
32.03.10.2013,Sukatani,Pacet,Kabupaten Cianjur
32.03.18.2009,Bunijaya,Pagelarang,Kabupaten Cianjur
32.03.18.2005,Buniwangi,Pagelarang,Kabupaten Cianjur
32.03.18.2004,Gelaranyar,Pagelarang,Kabupaten Cianjur
32.03.18.2015,Karangharja,Pagelarang,Kabupaten Cianjur
32.03.18.2012,Kertaraharja,Pagelarang,Kabupaten Cianjur
32.03.18.2011,Mekarsari,Pagelarang,Kabupaten Cianjur
32.03.18.2014,Padamaju,Pagelarang,Kabupaten Cianjur
32.03.18.2001,Pagelaran,Pagelarang,Kabupaten Cianjur
32.03.18.2002,Pangadegan,Pagelarang,Kabupaten Cianjur
32.03.18.2008,Pasirbaru,Pagelarang,Kabupaten Cianjur
32.03.18.2013,Selagedang,Pagelarang,Kabupaten Cianjur
32.03.18.2007,Sindangkerta,Pagelarang,Kabupaten Cianjur
32.03.18.2010,Situhiang,Pagelarang,Kabupaten Cianjur
32.03.18.2018,Sukamaju,Pagelarang,Kabupaten Cianjur
32.03.32.2008,Girijaya,Pasirkuda,Kabupaten Cianjur
32.03.32.2005,Girimukti,Pasirkuda,Kabupaten Cianjur
32.03.32.2002,Kalibaru,Pasirkuda,Kabupaten Cianjur
32.03.32.2006,Karangjaya,Pasirkuda,Kabupaten Cianjur
32.03.32.2004,Kubang,Pasirkuda,Kabupaten Cianjur
32.03.32.2007,Mekarmulya,Pasirkuda,Kabupaten Cianjur
32.03.32.2009,Padamulya,Pasirkuda,Kabupaten Cianjur
32.03.32.2003,Pusakajaya,Pasirkuda,Kabupaten Cianjur
32.03.32.2001,Simpang,Pasirkuda,Kabupaten Cianjur
32.03.21.2007,Girimukti,Sindangbarang,Kabupaten Cianjur
32.03.21.2009,Hegarsari,Sindangbarang,Kabupaten Cianjur
32.03.21.2003,Jatisari,Sindangbarang,Kabupaten Cianjur
32.03.21.2005,Jayagiri,Sindangbarang,Kabupaten Cianjur
32.03.21.2011,Kertamukti,Sindangbarang,Kabupaten Cianjur
32.03.21.2006,Kertasari,Sindangbarang,Kabupaten Cianjur
32.03.21.2010,Mekarlaksana,Sindangbarang,Kabupaten Cianjur
32.03.21.2002,Muaracikadu,Sindangbarang,Kabupaten Cianjur
32.03.21.2001,Saganten,Sindangbarang,Kabupaten Cianjur
32.03.21.2004,Sirnagalih,Sindangbarang,Kabupaten Cianjur
32.03.21.2008,Talagasari,Sindangbarang,Kabupaten Cianjur
32.03.09.2009,Babakansari,Sukaluyu,Kabupaten Cianjur
32.03.09.2010,Hegarmanah,Sukaluyu,Kabupaten Cianjur
32.03.09.2006,Mekarjaya,Sukaluyu,Kabupaten Cianjur
32.03.09.2003,Panyusuhan,Sukaluyu,Kabupaten Cianjur
32.03.09.2001,Selajambe,Sukaluyu,Kabupaten Cianjur
32.03.09.2005,Sindangraja,Sukaluyu,Kabupaten Cianjur
32.03.09.2008,Sukaluyu,Sukaluyu,Kabupaten Cianjur
32.03.09.2002,Sukamulya,Sukaluyu,Kabupaten Cianjur
32.03.09.2007,Sukasirna,Sukaluyu,Kabupaten Cianjur
32.03.09.2004,Tanjungsari,Sukaluyu,Kabupaten Cianjur
32.03.14.2004,Ciguha,Sukanagara,Kabupaten Cianjur
32.03.14.2006,Gunungsari,Sukanagara,Kabupaten Cianjur
32.03.14.2010,Jayagiri,Sukanagara,Kabupaten Cianjur
32.03.14.2009,Sindangsari,Sukanagara,Kabupaten Cianjur
32.03.14.2002,Sukajembar,Sukanagara,Kabupaten Cianjur
32.03.14.2003,Sukakarya,Sukanagara,Kabupaten Cianjur
32.03.14.2007,Sukalaksana,Sukanagara,Kabupaten Cianjur
32.03.14.2005,Sukamekar,Sukanagara,Kabupaten Cianjur
32.03.14.2001,Sukanagara,Sukanagara,Kabupaten Cianjur
32.03.14.2008,Sukarame,Sukanagara,Kabupaten Cianjur
32.03.13.2005,Cibadak,Sukaresmi,Kabupaten Cianjur
32.03.13.2008,Cibanteng,Sukaresmi,Kabupaten Cianjur
32.03.13.2002,Cikancana,Sukaresmi,Kabupaten Cianjur
32.03.13.2001,Cikanyere,Sukaresmi,Kabupaten Cianjur
32.03.13.2003,Ciwalen,Sukaresmi,Kabupaten Cianjur
32.03.13.2004,Kawungluwuk,Sukaresmi,Kabupaten Cianjur
32.03.13.2009,Kubang,Sukaresmi,Kabupaten Cianjur
32.03.13.2010,Pakuon,Sukaresmi,Kabupaten Cianjur
32.03.13.2011,Rawabelut,Sukaresmi,Kabupaten Cianjur
32.03.13.2006,Sukamahi,Sukaresmi,Kabupaten Cianjur
32.03.13.2007,Sukaresmi,Sukaresmi,Kabupaten Cianjur
32.03.16.2006,Bungbangsari,Takokak,Kabupaten Cianjur
32.03.16.2007,Cisujen,Takokak,Kabupaten Cianjur
32.03.16.2008,Hegarmanah,Takokak,Kabupaten Cianjur
32.03.16.2001,Pasawahan,Takokak,Kabupaten Cianjur
32.03.16.2004,Simpang,Takokak,Kabupaten Cianjur
32.03.16.2003,Sindanghayu,Takokak,Kabupaten Cianjur
32.03.16.2002,Sindangresmi,Takokak,Kabupaten Cianjur
32.03.16.2005,Sukagalih,Takokak,Kabupaten Cianjur
32.03.16.2009,Waringinsari,Takokak,Kabupaten Cianjur
32.03.19.2007,Bojongpetir,Tanggeung,Kabupaten Cianjur
32.03.19.2003,Cilongsong,Tanggeung,Kabupaten Cianjur
32.03.19.2005,Karangtengah,Tanggeung,Kabupaten Cianjur
32.03.19.2013,Kertajaya,Tanggeung,Kabupaten Cianjur
32.03.19.2004,Margaluyu,Tanggeung,Kabupaten Cianjur
32.03.19.2015,Padaluyu,Tanggeung,Kabupaten Cianjur
32.03.19.2006,Pagermaneuh,Tanggeung,Kabupaten Cianjur
32.03.19.2009,Pasirjambu,Tanggeung,Kabupaten Cianjur
32.03.19.2002,Rawagede,Tanggeung,Kabupaten Cianjur
32.03.19.2010,Sirnajaya,Tanggeung,Kabupaten Cianjur
32.03.19.2014,Sukajaya,Tanggeung,Kabupaten Cianjur
32.03.19.2001,Tanggeung,Tanggeung,Kabupaten Cianjur
32.03.02.2008,Bunikasih,Warungkondang,Kabupaten Cianjur
32.03.02.2014,Bunisari,Warungkondang,Kabupaten Cianjur
32.03.02.2017,Cieundeur,Warungkondang,Kabupaten Cianjur
32.03.02.2007,Cikaroya,Warungkondang,Kabupaten Cianjur
32.03.02.2006,Cisarandi,Warungkondang,Kabupaten Cianjur
32.03.02.2009,Ciwalen,Warungkondang,Kabupaten Cianjur
32.03.02.2002,Jambudipa,Warungkondang,Kabupaten Cianjur
32.03.02.2018,Mekarwangi,Warungkondang,Kabupaten Cianjur
32.03.02.2016,Sukamulya,Warungkondang,Kabupaten Cianjur
32.03.02.2011,Sukawangi,Warungkondang,Kabupaten Cianjur
32.03.02.2010,Tegallega,Warungkondang,Kabupaten Cianjur
32.09.24.2004,Arjawinangun,Arjawinangun,Kabupaten Cirebon
32.09.24.2009,Bulak,Arjawinangun,Kabupaten Cirebon
32.09.24.2010,Geyongan,Arjawinangun,Kabupaten Cirebon
32.09.24.2003,Jungjang,Arjawinangun,Kabupaten Cirebon
32.09.24.2002,Jungjang Wetan,Arjawinangun,Kabupaten Cirebon
32.09.24.2008,Karangsambung,Arjawinangun,Kabupaten Cirebon
32.09.24.2011,Kebonturi,Arjawinangun,Kabupaten Cirebon
32.09.24.2007,Rawagatel,Arjawinangun,Kabupaten Cirebon
32.09.24.2001,Sende,Arjawinangun,Kabupaten Cirebon
32.09.24.2005,Tegalgubug,Arjawinangun,Kabupaten Cirebon
32.09.24.2006,Tegalgubug Lor,Arjawinangun,Kabupaten Cirebon
32.09.10.2011,Astanajapura,Astanajapura,Kabupaten Cirebon
32.09.10.2008,Buntet,Astanajapura,Kabupaten Cirebon
32.09.10.2013,Japura Kidul,Astanajapura,Kabupaten Cirebon
32.09.10.2014,Japurabakti,Astanajapura,Kabupaten Cirebon
32.09.10.2010,Kanci,Astanajapura,Kabupaten Cirebon
32.09.10.2009,Kanci Kulon,Astanajapura,Kabupaten Cirebon
32.09.10.2012,Kendal,Astanajapura,Kabupaten Cirebon
32.09.10.2006,Mertapada Kulon,Astanajapura,Kabupaten Cirebon
32.09.10.2007,Mertapada Wetan,Astanajapura,Kabupaten Cirebon
32.09.10.2004,Munjul,Astanajapura,Kabupaten Cirebon
32.09.10.2005,Sidamulya,Astanajapura,Kabupaten Cirebon
32.09.05.2007,Babakan,Babakan,Kabupaten Cirebon
32.09.05.2006,Babakan Gebang,Babakan,Kabupaten Cirebon
32.09.05.2008,Bojonggebang,Babakan,Kabupaten Cirebon
32.09.05.2001,Cangkuang,Babakan,Kabupaten Cirebon
32.09.05.2005,Gembongan,Babakan,Kabupaten Cirebon
32.09.05.2004,Gembongan Mekar,Babakan,Kabupaten Cirebon
32.09.05.2014,Karangwangun,Babakan,Kabupaten Cirebon
32.09.05.2012,Kudukeras,Babakan,Kabupaten Cirebon
32.09.05.2011,Kudumulya,Babakan,Kabupaten Cirebon
32.09.05.2013,Pakusamben,Babakan,Kabupaten Cirebon
32.09.05.2003,Serang Kulon,Babakan,Kabupaten Cirebon
32.09.05.2002,Serang Wetan,Babakan,Kabupaten Cirebon
32.09.05.2009,Sumber Kidul,Babakan,Kabupaten Cirebon
32.09.05.2010,Sumber Lor,Babakan,Kabupaten Cirebon
32.09.13.2011,Beber,Beber,Kabupaten Cirebon
32.09.13.2004,Ciawigajah,Beber,Kabupaten Cirebon
32.09.13.2008,Cikancas,Beber,Kabupaten Cirebon
32.09.13.2010,Cipinang,Beber,Kabupaten Cirebon
32.09.13.2009,Halimpu,Beber,Kabupaten Cirebon
32.09.13.2013,Kondangsari,Beber,Kabupaten Cirebon
32.09.13.2012,Patapan,Beber,Kabupaten Cirebon
32.09.13.2003,Sindanghayu,Beber,Kabupaten Cirebon
32.09.13.2002,Sindangkasih,Beber,Kabupaten Cirebon
32.09.13.2001,Wanayasa,Beber,Kabupaten Cirebon
32.09.02.2017,Bojongnegara,Ciledug,Kabupaten Cirebon
32.09.02.2013,Ciledug Kulon,Ciledug,Kabupaten Cirebon
32.09.02.2015,Ciledug Lor,Ciledug,Kabupaten Cirebon
32.09.02.2016,Ciledug Tengah,Ciledug,Kabupaten Cirebon
32.09.02.2014,Ciledug Wetan,Ciledug,Kabupaten Cirebon
32.09.02.2010,Damarguna,Ciledug,Kabupaten Cirebon
32.09.02.2011,Jatiseeng,Ciledug,Kabupaten Cirebon
32.09.02.2012,Jatiseeng Kidul,Ciledug,Kabupaten Cirebon
32.09.02.2008,Leuweunggajah,Ciledug,Kabupaten Cirebon
32.09.02.2009,Tenjomaya,Ciledug,Kabupaten Cirebon
32.09.26.2005,Babakan,Ciwaringin,Kabupaten Cirebon
32.09.26.2010,Bringin,Ciwaringin,Kabupaten Cirebon
32.09.26.2004,Budur,Ciwaringin,Kabupaten Cirebon
32.09.26.2006,Ciwaringin,Ciwaringin,Kabupaten Cirebon
32.09.26.2011,Galagamba,Ciwaringin,Kabupaten Cirebon
32.09.26.2008,Gintung Kidul,Ciwaringin,Kabupaten Cirebon
32.09.26.2009,Gintung Tengah,Ciwaringin,Kabupaten Cirebon
32.09.26.2007,Gintungranjeng,Ciwaringin,Kabupaten Cirebon
32.09.31.2001,Cikeduk,Depok,Kabupaten Cirebon
32.09.31.2006,Depok,Depok,Kabupaten Cirebon
32.09.31.2011,Getasan,Depok,Kabupaten Cirebon
32.09.31.2012,Karangwangi,Depok,Kabupaten Cirebon
32.09.31.2007,Kasugengan Kidul,Depok,Kabupaten Cirebon
32.09.31.2008,Kasugengan Lor,Depok,Kabupaten Cirebon
32.09.31.2009,Keduanan,Depok,Kabupaten Cirebon
